Student Number,Primary Last Name,Primary First Name,Primary Middle Name,Preferred First Name,Email Address,Mailing Address,Phone Number
300000207,Rodriguez,Elizabeth,,Elizabeth,erodriguez@sfu.ca,"5698 Cedar Ln, Richmond BC VA6 9C6 Canada",778/942-1743
300000208,Lopez,Patricia,,Patricia,plopez@sfu.ca,"4547 Oak Dr, Coquitlam BC VH8 2W9 Canada",778/405-2997
300000209,Cook,Donald,,Donald,dcook@sfu.ca,"824 123 Ave, Abbotsford BC VN4 4J4 Canada",778/792-1251
300000210,Taylor,Kevin,,Kevin,ktaylor@sfu.ca,"9137 Broadway, Burnaby BC VV9 4W7 Canada",778/352-5678
300000211,Johnson,Christopher,,Christopher,cjohnson@sfu.ca,"842 Ash St, New Westminster BC VK5 2H2 Canada",778/958-2874
300000212,Wilson,Susan,,Susan,swilson@sfu.ca,"2293 Willow St, Langley BC VN5 2B4 Canada",778/795-2567
300000213,Thomas,Steven,,Steven,sthomas@sfu.ca,"6859 Cedar Ln, New Westminster BC VS0 3T7 Canada",778/236-4012
300000214,Wilson,Matthew,,Matthew,mwilson@sfu.ca,"239 Elm Street, Mission BC VN7 2M4 Canada",778/512-8490
300000215,White,Amanda,,Amanda,awhite@sfu.ca,"3697 Oak Dr, Coquitlam BC VB5 1U2 Canada",778/481-6355
300000216,Jones,Dorothy,,Dorothy,djones@sfu.ca,"4506 Pine Rd, New Westminster BC VI7 8G0 Canada",778/412-4441
300000217,Moore,Karen,,Karen,kmoore@sfu.ca,"4349 Broadway, Vancouver BC VX0 2Q8 Canada",778/832-5430
300000218,Morales,Linda,,Linda,lmorales@sfu.ca,"1321 Elm Street, Richmond BC VR8 2Z8 Canada",778/291-9872
300000219,Allen,Paul,,Paul,pallen@sfu.ca,"5871 University Crescent, Mission BC VL2 0F1 Canada",778/481-9476
300000220,Thomas,Amanda,,Amanda,athomas@sfu.ca,"2867 University Crescent, Maple Ridge BC VB0 0S3 Canada",778/806-7728
300000221,Robinson,Linda,,Linda,lrobinson@sfu.ca,"1186 Birch Ave, Burnaby BC VC4 3J4 Canada",778/435-1021
300000222,Allen,Sarah,,Sarah,sallen@sfu.ca,"8646 Maple Place, New Westminster BC VV4 4O8 Canada",778/649-5926
300000223,Ramirez,Betty,,Betty,bramirez@sfu.ca,"8003 Broadway, Richmond BC VY3 9H2 Canada",778/409-5446
300000224,Young,Brian,,Brian,byoung@sfu.ca,"1154 University Crescent, Brackendale BC VB6 9H6 Canada",778/148-4214
300000225,Jones,Amanda,,Amanda,ajones@sfu.ca,"3514 Kingsway, Coquitlam BC VJ3 9H1 Canada",778/673-3338
300000226,Gonzalez,Michelle,,Michelle,mgonzalez@sfu.ca,"2649 Birch Ave, Burnaby BC VG4 8W5 Canada",778/173-5223
300000227,Phillips,Mark,,Mark,mphillips@sfu.ca,"3425 Ash St, Coquitlam BC VM2 8T6 Canada",778/408-7505
300000228,Lewis,Ronald,,Ronald,rlewis@sfu.ca,"8791 Ash Ave, Brackendale BC VV6 0O7 Canada",778/613-2832
300000229,Thomas,Ronald,,Ronald,rthomas@sfu.ca,"711 Elm Street, New Westminster BC VH3 7O3 Canada",778/150-2528
300000230,Rodriguez,Nancy,,Nancy,nrodriguez@sfu.ca,"3422 Ash St, New Westminster BC VE0 2F3 Canada",778/880-9265
300000231,Morales,Edward,,Edward,emorales@sfu.ca,"1884 Cedar Ln, Maple Ridge BC VY5 7O3 Canada",778/795-4418
300000232,Edwards,Kimberly,,Kimberly,kedwards@sfu.ca,"5635 Cedar Ln, Mission BC VG1 0I9 Canada",778/200-3080
300000233,Thompson,Elizabeth,,Elizabeth,ethompson@sfu.ca,"6380 Birch Ave, Burnaby BC VU3 0O1 Canada",778/826-8773
300000234,Thompson,Mary,,Mary,mthompson@sfu.ca,"6293 University Crescent, New Westminster BC VX8 2T8 Canada",778/907-3380
300000235,Morris,John,,John,jmorris@sfu.ca,"4940 123 Ave, Richmond BC VU2 2V3 Canada",778/329-1601
300000236,Rodriguez,Daniel,,Daniel,drodriguez@sfu.ca,"9213 Willow St, Surrey BC VN8 9O9 Canada",778/441-3477
300000237,Robinson,Margaret,,Margaret,mrobinson@sfu.ca,"4813 Ash St, Vancouver BC VR2 4N1 Canada",778/331-4263
300000238,Evans,David,,David,devans@sfu.ca,"503 Kingsway, Port Moody BC VQ2 3F3 Canada",778/115-3433
300000239,Williams,George,,George,gwilliams@sfu.ca,"5684 Kingsway, Maple Ridge BC VT4 6Y2 Canada",778/755-9972
300000240,Murphy,Paul,,Paul,pmurphy@sfu.ca,"2592 Spruce Dr, Burnaby BC VX9 4S6 Canada",778/187-6899
300000241,Robinson,Nancy,,Nancy,nrobinson@sfu.ca,"2602 Elm Street, Port Moody BC VQ3 0R3 Canada",778/641-4457
300000242,Reeves,Donna,,Donna,dreeves@sfu.ca,"7431 Ash Ave, Port Moody BC VZ5 4J9 Canada",778/378-2275
300000243,Torres,Karen,,Karen,ktorres@sfu.ca,"6361 Ash Ave, Richmond BC VZ2 8E0 Canada",778/548-9085
300000244,Gonzalez,Ronald,,Ronald,rgonzalez@sfu.ca,"7353 123 Ave, Vancouver BC VG9 1X1 Canada",778/460-1220
300000245,Evans,Kevin,,Kevin,kevans@sfu.ca,"2206 Ash St, Brackendale BC VM3 0I9 Canada",778/142-3179
300000246,Gonzalez,Jennifer,,Jennifer,jgonzalez@sfu.ca,"6588 Maple Place, Burnaby BC VP2 9G5 Canada",778/277-8292
300000247,Gonzalez,Linda,,Linda,lgonzalez@sfu.ca,"7127 Cedar Ln, Burnaby BC VZ1 6C9 Canada",778/358-6964
300000248,Miller,Margaret,,Margaret,mmiller@sfu.ca,"6946 Granville St, Pitt Meadows BC VF6 1H0 Canada",778/874-2978
300000249,Peterson,James,,James,jpeterson@sfu.ca,"3841 123 Ave, New Westminster BC VT3 1H9 Canada",778/192-3345
300000250,Edwards,Patricia,,Patricia,pedwards@sfu.ca,"789 Ash St, Port Moody BC VT5 1D8 Canada",778/731-1844
300000251,Lee,Andrew,,Andrew,alee@sfu.ca,"3220 Cedar Ln, Pitt Meadows BC VJ8 9C6 Canada",778/464-7069
300000252,Martinez,George,,George,gmartinez@sfu.ca,"1696 University Crescent, Maple Ridge BC VW5 8D2 Canada",778/559-1477
300000253,Peterson,Charles,,Charles,cpeterson@sfu.ca,"7499 Cedar Ln, Abbotsford BC VS0 6X4 Canada",778/666-1552
300000254,Ramirez,Barbara,,Barbara,bramirez@sfu.ca,"9394 123 Ave, Brackendale BC VX4 7G2 Canada",778/493-7427
300000255,Sanchez,Deborah,,Deborah,dsanchez@sfu.ca,"5255 Maple Place, Brackendale BC VB8 0X3 Canada",778/504-7512
300000256,Stewart,Daniel,,Daniel,dstewart@sfu.ca,"5736 Birch Ave, Surrey BC VJ2 4V7 Canada",778/190-2421
300000257,Cook,Ashley,,Ashley,acook@sfu.ca,"7209 Cedar Ln, Abbotsford BC VO4 6D8 Canada",778/444-4593
300000258,Wilson,Nancy,,Nancy,nwilson@sfu.ca,"3056 Willow St, Langley BC VM1 8U5 Canada",778/547-7357
300000259,Williams,William,,William,wwilliams@sfu.ca,"2563 Maple Place, Port Moody BC VF9 7W1 Canada",778/355-5701
300000260,Jones,John,,John,jjones@sfu.ca,"7482 Broadway, Port Moody BC VG7 6N8 Canada",778/348-2470
300000261,Martin,Christopher,,Christopher,cmartin@sfu.ca,"1302 Granville St, Abbotsford BC VG3 5O5 Canada",778/301-9147
300000262,Allen,Carol,,Carol,callen@sfu.ca,"8120 Spruce Dr, Port Moody BC VH4 2R8 Canada",778/574-5577
300000263,Parker,Edward,,Edward,eparker@sfu.ca,"3547 Birch Ave, Abbotsford BC VQ1 0Y2 Canada",778/921-5142
300000264,Evans,Karen,,Karen,kevans@sfu.ca,"5336 University Crescent, Chilliwack BC VS6 1O4 Canada",778/679-7181
300000265,Martinez,Paul,,Paul,pmartinez@sfu.ca,"9665 Main St, Surrey BC VV8 7D0 Canada",778/886-7915
300000266,Torres,Kimberly,,Kimberly,ktorres@sfu.ca,"2388 Spruce Dr, Langley BC VY6 5Q0 Canada",778/410-2148
300000267,Moore,Anthony,,Anthony,amoore@sfu.ca,"2902 Elm Street, Langley BC VU7 7P1 Canada",778/746-6314
300000268,Davis,Elizabeth,,Elizabeth,edavis@sfu.ca,"9970 Ash Ave, Chilliwack BC VM0 3Q5 Canada",778/348-5383
300000269,Reeves,Dorothy,,Dorothy,dreeves@sfu.ca,"5998 Broadway, Port Moody BC VP5 5H6 Canada",778/835-4219
300000270,Robinson,John,,John,jrobinson@sfu.ca,"4189 Willow St, New Westminster BC VO7 2O4 Canada",778/622-1849
300000271,White,Michael,,Michael,mwhite@sfu.ca,"1360 University Crescent, Pitt Meadows BC VV4 0M8 Canada",778/655-1553
300000272,Cook,George,,George,gcook@sfu.ca,"6745 Kingsway, Langley BC VC6 9F0 Canada",778/444-9416
300000273,Sanchez,Michelle,,Michelle,msanchez@sfu.ca,"2050 Oak Dr, Langley BC VE6 8H5 Canada",778/220-3514
300000274,Walker,Elizabeth,,Elizabeth,ewalker@sfu.ca,"2586 Willow St, Richmond BC VQ1 0M4 Canada",778/593-5071
300000275,Williams,Emily,,Emily,ewilliams@sfu.ca,"2838 Granville St, Abbotsford BC VB9 5E2 Canada",778/180-9254
300000276,Moore,Linda,,Linda,lmoore@sfu.ca,"9310 Pine Rd, Coquitlam BC VK2 8J4 Canada",778/375-8138
300000277,Cook,Deborah,,Deborah,dcook@sfu.ca,"4919 Oak Dr, Pitt Meadows BC VL9 2M6 Canada",778/710-6581
300000278,Thomas,John,,John,jthomas@sfu.ca,"9579 Broadway, New Westminster BC VO4 8N1 Canada",778/510-6345
300000279,King,Sandra,,Sandra,sking@sfu.ca,"2752 123 Ave, New Westminster BC VV1 6U9 Canada",778/723-9631
300000280,Thomas,Joseph,,Joseph,jthomas@sfu.ca,"5648 Willow St, Brackendale BC VC5 3N7 Canada",778/343-7616
300000281,Moore,Kimberly,,Kimberly,kmoore@sfu.ca,"573 Spruce Dr, Maple Ridge BC VP3 7J2 Canada",778/692-1679
300000282,Perez,Patricia,,Patricia,pperez@sfu.ca,"7310 Birch Ave, Pitt Meadows BC VK3 8P7 Canada",778/524-9662
300000283,Wright,Deborah,,Deborah,dwright@sfu.ca,"279 Ash Ave, Brackendale BC VD1 9H6 Canada",778/776-4518
300000284,Gonzalez,George,,George,ggonzalez@sfu.ca,"7175 Spruce Dr, Maple Ridge BC VB4 8W8 Canada",778/133-8650
300000285,Harris,Melissa,,Melissa,mharris@sfu.ca,"5528 University Crescent, Mission BC VM4 3C1 Canada",778/247-4665
300000286,Johnson,Andrew,,Andrew,ajohnson@sfu.ca,"8943 Oak Dr, Chilliwack BC VY0 0E1 Canada",778/896-9772
300000287,Young,Steven,,Steven,syoung@sfu.ca,"9674 Ash St, Burnaby BC VG4 0Y0 Canada",778/415-6914
300000288,Lee,Stephanie,,Stephanie,slee@sfu.ca,"6131 Elm Street, Abbotsford BC VI6 1F0 Canada",778/635-9076
300000289,Hernandez,Donald,,Donald,dhernandez@sfu.ca,"2707 Elm Street, Surrey BC VA8 5Q8 Canada",778/394-8276
300000290,Thompson,Sarah,,Sarah,sthompson@sfu.ca,"1211 Main St, Chilliwack BC VD9 3J1 Canada",778/932-1560
300000291,Morris,Margaret,,Margaret,mmorris@sfu.ca,"771 Kingsway, Richmond BC VR9 9T2 Canada",778/538-1177
300000292,Scott,Mary,,Mary,mscott@sfu.ca,"2172 Oak Dr, Langley BC VF6 9U3 Canada",778/699-2737
300000293,Perez,Sandra,,Sandra,sperez@sfu.ca,"2338 Main St, Vancouver BC VP7 4K8 Canada",778/352-8120
300000294,Perez,Thomas,,Thomas,tperez@sfu.ca,"9402 Broadway, Maple Ridge BC VC9 2L9 Canada",778/307-7040
300000295,Thomas,John,,John,jthomas@sfu.ca,"9688 Pine Rd, Burnaby BC VX9 5R4 Canada",778/655-7981
300000296,Cook,James,,James,jcook@sfu.ca,"5923 Ash Ave, Coquitlam BC VQ5 6Z6 Canada",778/665-2752
300000297,Thompson,Christopher,,Christopher,cthompson@sfu.ca,"6146 Cedar Ln, Maple Ridge BC VO9 6X6 Canada",778/897-9913
300000298,Thomas,Jessica,,Jessica,jthomas@sfu.ca,"8836 Ash Ave, Brackendale BC VR8 3E1 Canada",778/898-4471
300000299,Lewis,Stephanie,,Stephanie,slewis@sfu.ca,"7402 Spruce Dr, Langley BC VI0 6M1 Canada",778/299-9846
